Country,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
Canada,0.63,0.12,0.04,0.07,497.6,6.72,99.14,3.67,0.0
Other South Asia,0.67,0.08,0.04,0.05,388.04,6.59,71.5,3.31,0.0
Other South America,0.72,0.11,0.04,0.05,572.35,6.13,104.11,3.45,0.0
France,0.68,0.08,0.02,0.02,272.58,4.88,64.11,3.17,0.0
Other East Asia,0.5,0.09,0.0,0.02,214.07,3.29,53.19,3.0,0.0
Other Europe,0.74,0.1,0.06,0.06,650.39,7.39,98.03,3.43,0.01
Nigeria,0.66,0.06,0.0,0.04,373.36,7.27,143.94,3.0,0.0
"Other North & Central Amer., Caribbean",0.6,0.03,0.03,0.04,414.83,5.93,77.67,2.79,0.0
Australia,0.73,0.13,0.0,0.05,291.4,6.27,38.0,2.75,0.0
China,0.58,0.0,0.0,0.0,49.73,2.27,10.0,1.94,0.0
Russian Federation,0.66,0.13,0.08,0.1,940.88,9.01,205.33,3.79,0.0
Germany,0.76,0.13,0.07,0.07,808.06,7.63,136.91,3.81,0.0
Philippines,0.6,0.1,0.0,0.02,234.7,5.4,37.67,3.33,0.0
Spain,0.79,0.21,0.13,0.14,1174.49,11.32,151.1,4.83,0.02
Ukraine,0.71,0.0,0.0,0.0,64.0,3.14,8.75,2.6,0.0
Poland,0.81,0.21,0.1,0.11,803.1,10.68,111.09,4.45,0.0
Indonesia,0.29,0.0,0.0,0.0,15.86,2.71,6.0,1.0,0.0
United States,0.67,0.08,0.03,0.04,485.27,6.48,83.02,3.06,0.02
Morocco,0.2,0.2,0.2,0.13,704.8,11.6,435.0,12.0,0.0
Unknown/Other,0.16,0.03,0.0,0.02,77.41,2.44,17.5,2.54,0.0
Other Africa,0.61,0.05,0.01,0.01,228.6,4.2,81.32,3.02,0.0
Brazil,0.7,0.12,0.06,0.07,753.69,8.3,115.86,3.47,0.02
Pakistan,0.59,0.05,0.02,0.02,178.74,4.14,42.85,2.67,0.0
Portugal,0.88,0.06,0.06,0.11,342.88,5.0,39.42,3.0,0.0
Mexico,0.7,0.09,0.05,0.07,382.47,5.65,53.2,3.13,0.0
Egypt,0.71,0.03,0.0,0.0,125.66,3.15,50.35,1.74,0.0
India,0.7,0.11,0.04,0.05,455.02,6.42,91.78,3.6,0.03
Other Middle East/Central Asia,0.63,0.02,0.01,0.01,247.5,4.25,68.01,2.38,0.0
United Kingdom,0.67,0.09,0.03,0.05,555.85,6.62,77.95,3.39,0.0
Colombia,0.72,0.14,0.05,0.07,689.52,8.49,97.49,3.93,0.0
Greece,0.83,0.17,0.07,0.1,1152.45,11.72,158.0,4.38,0.0
Japan,0.67,0.13,0.08,0.3,967.09,7.67,71.5,3.56,0.0
Overall average,0.64,0.09,0.04,0.06,472.26,6.34,90.62,3.44,0.0
